player_id,name,position,jersey_number,age,date_of_birth,height,caps,goals,plays
336722,Alan PULIDO,Forward,11,23,08.03.1991,176,5,4,True
368902,Adam TAGGART,Forward,9,21,02.06.1993,172,4,3,True
362641,Reza GHOOCHANNEJAD,Forward,16,26,20.09.1987,181,13,9,False
314197,NEYMAR,Forward,10,22,05.02.1992,175,48,31,False
212306,Didier DROGBA,Forward,11,36,11.03.1978,180,100,61,False
229884,David VILLA,Forward,7,32,03.12.1981,175,95,56,True
305372,Abel HERNANDEZ,Forward,8,23,08.08.1990,186,12,7,False
228599,Javier HERNANDEZ,Forward,14,26,01.06.1988,175,61,35,False
300409,Edin DZEKO,Forward,11,28,17.03.1986,192,62,35,False
184615,Klaas Jan HUNTELAAR,Forward,19,30,12.08.1983,187,61,34,False
271550,Gonzalo HIGUAIN,Forward,9,26,10.12.1987,184,36,20,False
227851,Oribe PERALTA,Forward,19,30,12.01.1984,177,27,15,True
354859,Islam SLIMANI,Forward,13,26,18.06.1988,188,19,10,False
182206,Miroslav KLOSE,Forward,11,36,09.06.1978,182,131,68,False
217315,Robin VAN PERSIE,Forward,9,30,06.08.1983,186,84,43,False
286278,Shinji OKAZAKI,Forward,9,28,16.04.1986,174,75,38,False
270775,Luis SUAREZ,Forward,9,27,24.01.1987,181,77,39,False
233952,FRED,Forward,9,30,03.10.1983,186,32,16,True
312316,Eric CHOUPO MOTING,Forward,13,25,23.03.1989,190,26,13,False
356411,Fabian SCHAER,Defender,22,22,20.12.1991,186,6,3,True
338673,Uche NWOFOR,Forward,19,22,17.09.1991,177,6,3,False
373224,Rickie LAMBERT,Forward,18,32,16.02.1982,188,4,2,True
379894,Miiko ALBORNOZ,Defender,3,23,30.11.1990,180,2,1,False
208353,Asamoah GYAN,Forward,3,28,22.11.1985,186,77,38,False
296994,El Arabi SOUDANI,Forward,15,26,25.11.1987,177,21,10,False
339508,Chris WONDOLOWSKI,Forward,18,31,28.01.1983,182,19,9,True
213001,Tim CAHILL,Forward,4,34,06.12.1979,180,68,32,False
214384,EDUARDO_1,Forward,22,31,25.02.1983,177,62,29,False
170667,Samuel ETOO,Forward,9,33,10.03.1981,181,117,54,False
271414,Carlo COSTLY,Forward,13,31,18.07.1982,190,68,31,True
275096,Yoichiro KAKITANI,Forward,11,24,03.01.1990,177,11,5,True
270301,Eduardo VARGAS,Forward,11,24,20.11.1989,175,29,13,False
201200,CRISTIANO RONALDO,Forward,7,29,05.02.1985,185,110,49,False
323623,Jerry BENGTSON,Forward,11,27,08.04.1987,187,43,19,False
229397,Lionel MESSI,Forward,10,26,24.06.1987,169,84,37,False
235097,Mubarak WAKASO,Midfielder,22,23,25.07.1990,171,16,7,False
356399,Josip DRMIC,Forward,19,21,08.08.1992,182,7,3,False
196842,Wayne ROONEY,Forward,10,28,24.10.1985,176,90,38,True
228528,Sergio AGUERO,Forward,20,26,02.06.1988,172,50,21,False
309716,Teofilo GUTIERREZ,Forward,9,29,17.05.1985,180,29,12,False
301059,Mario BALOTELLI,Forward,9,23,12.08.1990,189,29,12,True
364763,Emmanuel EMENIKE,Forward,9,27,10.05.1987,182,22,9,False
196789,Lukas PODOLSKI,Forward,10,29,04.06.1985,180,113,46,False
187203,HELDER POSTIGA,Forward,23,31,02.08.1982,182,67,27,False
367261,Nabil GHILAS,Forward,9,24,20.04.1990,183,5,2,False
207761,PARK Chuyoung,Forward,10,28,10.07.1985,183,62,24,False
306548,Andre SCHUERRLE,Forward,9,23,06.11.1990,184,32,12,False
275136,Yuya OSAKO,Forward,18,24,18.05.1990,182,8,3,False
300411,Vedad IBISEVIC,Forward,9,29,06.08.1984,189,55,20,False
233500,Keisuke HONDA,Forward,4,28,13.06.1986,182,55,20,False
